index,Price
2001-10-19,21.83
2001-10-20,21.83
2001-10-21,21.83
2001-10-22,21.76
2001-10-23,21.85
2001-10-24,22.33
2001-10-25,22.01
2001-10-26,22.03
2001-10-27,22.03
2001-10-28,22.03
2001-10-29,22.15
2001-10-30,21.87
2001-10-31,21.18
2001-11-01,20.39
2001-11-02,20.18
2001-11-03,20.18
2001-11-04,20.18
2001-11-05,20.02
2001-11-06,19.92
2001-11-07,20.09
2001-11-08,21.17
2001-11-09,22.22
2001-11-10,22.22
2001-11-11,22.22
2001-11-12,21.23
2001-11-13,21.67
2001-11-14,19.74
2001-11-15,17.45
2001-11-16,18.03
2001-11-17,18.03
2001-11-18,18.03
2001-11-19,17.72
2001-11-20,19.15
2001-11-21,18.96
2001-11-22,18.96
2001-11-23,18.96
2001-11-24,18.96
2001-11-25,18.96
2001-11-26,18.69
2001-11-27,19.48
2001-11-28,19.22
2001-11-29,18.62
2001-11-30,19.44
2001-12-01,19.44
2001-12-02,19.44
2001-12-03,20.09
2001-12-04,19.65
2001-12-05,19.49
2001-12-06,18.54
2001-12-07,19.04
2001-12-08,19.04
2001-12-09,19.04
2001-12-10,18.37
2001-12-11,18.08
2001-12-12,18.36
2001-12-13,18.12
2001-12-14,19.23
2001-12-15,19.23
2001-12-16,19.23
2001-12-17,19.22
2001-12-18,19.36
2001-12-19,19.8
2001-12-20,19.28
2001-12-21,19.62
2001-12-22,19.62
2001-12-23,19.62
2001-12-24,19.62
2001-12-25,19.62
2001-12-26,21.27
2001-12-27,20.9
2001-12-28,20.41
2001-12-29,20.41
2001-12-30,20.41
2001-12-31,19.84
