구분,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-13,2020-04-14,2020-04-16,2020-04-17,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-27,2020-04-28,2020-04-29,2020-05-04,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-28,2020-09-29,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-28,2020-12-29,2020-12-30,2020-12-31
평균,11200,11200,9800,9800,9000,8600,8600,9000,9000,8800,9400,9400,9600,9600,9800,9800,9000,8500,8400,8400,8800,8400,7400,7800,7600,8000,8400,8200,8200,9400,9600,9600,9600,9600,9750,10750,10500,10500,9750,9750,9500,8875,8250,7750,7750,9200,10400,11400,12400,11800,11800,10600,10000,9800,11200,10800,10800,10800,10600,10600,10000,9800,9800,9600,9400,10000,10200,10200,10400,10800,11800,11800,10800,11200,10800,10500,10200,9700,9200,9500,10100,11000,11200,10000,10600,10000,9800,8900,8500,8900,8900,10000,10200,10400,11400,12400,11000,10600,10600,10400,11600,13000,12400,11600,11800,11300,12000,11200,11200,11200,11200,13000,12200,12200,13400,14180,17480,17200,18400,20360,20240,20440,20500,20500,21100,20700,21360,21440,22580,23280,23280,22400,20880,19080,19480,19280,17680,15480,15680,15680,15680,21680,23880,25680,24680,24880,29440,30240,35980,37100,42900,41900,45500,45420,47500,48240,43240,37000,39500,40640,39040,38440,36000,35680,36080,33280,34680,37740,40460,50140,54140,55500,52420,50020,51280,50220,46140,45480,43740,43940,41080,37820,36560,33960,34080,37160,34360,18300,16180,13980,12380,10980,10180,11580,11380,10780,10980,11180,11180,10580,10580,11700,11700,11500,12440,12440,11380,10380,10380,10380,10380,11180,10180,10180,10180,9398,9198,9986,9424,10180,10180,9192,9452,9452,9452,8152,8152,7752,7352,7552,7752,8192,9192,9192,9392,9292,9880,10540,10740,11740,11480,10480,10140,10080,9486,9880,11940,11880
평년,10880,10860,10910,10880,10770,10530,10387,9837,9820,9847,9840,9850,10040,10143,10393,10577,11323,11413,11517,11603,11800,11787,11897,11983,12120,12130,12117,12037,11943,11857,11310,11192,11125,11148,11148,10630,10507,10352,10173,10157,10223,10087,9963,9817,9797,9367,9253,9160,9073,8917,8540,8523,8640,8710,8793,9037,9030,8987,8943,8950,9343,9497,9547,9660,9733,10080,9973,9987,9993,10050,9940,10053,10323,10357,10333,10477,10550,10583,10530,10333,10467,10597,10070,9967,9967,9953,10013,9997,9990,9890,9750,9725,9628,9467,9577,9683,10247,10340,10438,10538,10690,10570,10483,10520,10557,10573,10860,11033,11073,10960,10833,10470,10457,10527,10567,10627,11154,11235,11372,11621,12111,12917,12977,12887,13003,13137,14630,14947,15533,16180,16617,19200,19707,19807,19560,19513,19610,19767,20063,20333,20680,23607,24117,24577,25430,26850,32047,32993,34013,35373,36080,38773,40533,41807,42710,43063,47060,47830,48740,49123,49713,49213,48487,47887,47300,44863,44210,43733,43273,42283,36977,35330,35390,35537,35317,30167,29337,29137,28837,28407,22673,22000,21490,20743,20280,18583,17933,14547,14290,14517,14387,13853,13733,13817,13980,14077,13595,13618,13541,13473,13410,12557,12513,12393,12037,11787,11457,11423,11413,11407,11373,10920,10797,10757,10653,10453,9920,9953,10007,10040,10133,10217,10070,9977,10013,9947,9740,9840,9930,9987,10257,10137,10043,10200,10263,10577,10727,10820,10770,10750,10403,10310,10160,9977,10243,10320,10518,10765
서울,12000,12000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9000,9000,9000,9000,9000,9000,9000,9000,8000,9000,9000,9000,9000,10000,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,10000,10000,9000,9000,10000,12000,13000,14000,12000,12000,10000,10000,10000,13000,12000,12000,12000,11000,11000,11000,10000,10000,9000,9000,10000,10000,10000,12000,12000,12000,12000,11000,11000,11000,11000,10000,10000,9000,9000,10000,11000,12000,10000,10000,10000,10000,9000,8000,9000,9000,10000,10000,10000,11000,12000,10000,10000,10000,10000,12000,13000,12000,11000,12000,11000,11000,10000,10000,10000,10000,15000,13000,13000,15000,15600,20000,17600,20300,26600,25000,21000,20300,20300,21300,20300,20600,20000,23000,24000,24000,20600,17000,15000,15000,16000,15000,13000,15000,15000,15000,29000,27000,30000,27000,25000,32000,32000,39000,39000,41000,37000,46000,43600,48300,45000,33000,30600,40000,42000,40000,39000,36600,38000,37000,44000,45000,43300,42600,50000,55000,55000,52000,50000,53300,52000,46600,45300,43600,43600,37300,35000,35000,31000,32600,37000,30000,18600,14000,10000,10000,10000,10000,13000,15000,12000,12000,11000,11000,10000,10000,12600,12600,11600,12300,12300,11000,10000,10000,10000,10000,11000,10000,10000,10000,9000,9000,10000,9660,10000,10000,9000,10300,10300,10300,8000,8000,8000,8000,9000,9000,9000,9000,9000,10000,10000,10000,10300,10300,12300,12000,12000,10300,11000,10000,10000,15300,15000
부산,11000,11000,10000,10000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,-,9000,9000,9000,9000,9000,7000,7000,7000,8000,8000,8000,8000,10000,10000,10000,10000,10000,10000,11000,11000,11000,9000,9000,9000,8000,7000,7000,7000,9000,10000,11000,12000,12000,12000,11000,10000,10000,11000,11000,11000,11000,11000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9000,9000,9000,10000,10000,10000,11000,12000,11000,11000,11000,11000,12000,14000,14000,12000,12000,11000,11000,11000,11000,11000,11000,12000,12000,12000,13000,15300,17300,17300,18600,18600,18600,19600,19600,19600,19600,19600,19600,19600,21300,22300,22300,22300,21300,21300,21300,21300,17300,15300,15300,15300,15300,19300,22300,24300,24300,24300,26300,26300,33300,33300,40300,40300,42300,42300,45300,45300,45300,40300,40300,40300,40300,37300,36300,34300,34300,30300,31300,35300,38300,50300,53300,55300,52300,50300,50300,50300,45300,45300,43300,43300,41300,38300,36300,34300,34300,34300,30300,17300,15300,13300,11300,11300,10300,10300,10300,10300,10300,10300,10300,10300,10300,11300,11300,11300,12300,12300,11300,10300,10300,10300,10300,11300,10300,10300,10300,9330,9330,9330,9330,10300,10300,9330,9330,9330,9330,8330,8330,8330,7330,7330,7330,7330,9330,9330,9330,9330,10300,10300,10300,11300,11300,10300,10300,10300,10300,10300,11300,11300
대구,11000,11000,9000,9000,8000,8000,8000,9000,9000,9000,9000,9000,10000,10000,10000,10000,9000,8500,8000,8000,8000,7000,6000,7000,7000,7000,7000,7000,7000,8000,8000,8000,8000,8000,9000,10000,10000,10000,10000,10000,9000,7500,6000,6000,6000,8000,9000,10000,11000,11000,11000,10000,10000,10000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9000,10000,10000,10000,10000,10000,12000,12000,12000,12000,10000,10000,10000,9000,9000,9000,10000,11000,10000,10000,12000,10000,10000,8000,8000,8000,8000,10000,10000,10000,11000,13000,10000,10000,10000,10000,12000,13000,12000,10000,12000,12000,14000,12000,12000,12000,12000,13000,13000,13000,14000,14000,16000,16000,16000,18000,18000,20000,20000,20000,20000,20000,21000,21000,23000,23500,23500,23500,23500,19500,21500,21500,21500,16500,16500,16500,16500,19500,24500,25500,25500,25500,35300,35300,40000,42600,50600,50600,51600,51600,51600,59600,49600,40600,40600,43300,40300,42300,36500,38500,38500,32500,34500,36500,40800,48800,53800,56600,52200,50200,50200,50200,46200,45200,43200,43200,42200,38200,36900,34900,34900,37900,37900,20000,17000,14000,12000,12000,10000,12000,10000,10000,10000,11000,11000,10000,10000,12000,12000,12000,13000,13000,11000,10000,10000,10000,10000,11000,10000,10000,10000,9000,9000,10300,9300,10300,10300,9300,9300,9300,9300,8100,8100,8100,8100,8100,8100,8300,9300,9300,9300,9300,10300,11300,11300,12300,12300,10300,10300,10300,9300,10300,11300,11300
광주,11000,11000,10000,10000,9000,8000,8000,9000,9000,8000,9000,9000,10000,10000,10000,10000,9000,8000,8000,8000,9000,8000,7000,7000,7000,8000,9000,8000,8000,9000,10000,10000,10000,10000,-,-,-,-,-,-,-,-,-,-,-,9000,10000,11000,12000,11000,12000,11000,9000,9000,11000,10000,10000,10000,10000,10000,9000,9000,9000,9000,9000,10000,10000,10000,10000,11000,11000,11000,10000,11000,10000,10000,10000,9000,8000,9000,10000,11000,11000,10000,11000,10000,9000,8000,8000,9000,9000,10000,10000,11000,12000,13000,12000,10000,10000,10000,11000,13000,13000,13000,12000,11000,12000,11000,11000,11000,11000,13000,12000,12000,12000,12000,17600,17600,19600,20600,21600,20600,20600,20600,22600,21600,22600,22600,22600,23600,23600,22600,21600,19600,20600,19600,17600,15600,15600,15600,15600,21600,23600,25600,24600,24600,26600,30600,32600,35600,42600,40600,45600,46600,48300,46300,43300,38500,40600,41600,38600,36600,35600,34600,32600,30600,32600,37600,40600,51600,53600,55600,53600,50600,52600,50600,46600,46600,43600,44600,43600,38600,36600,34600,33600,36600,36600,17600,17600,17600,17600,11600,10600,11600,10600,10600,10600,11600,11600,10600,10600,11600,11600,11600,12600,12600,11600,10600,10600,10600,10600,11600,10600,10600,10600,9660,8660,10300,9330,10300,10300,9330,9330,9330,9330,8330,7330,6330,6330,6330,7330,8330,9330,9330,9330,9330,10300,11300,11300,11300,11300,10300,10300,10300,9330,10300,11300,11300
대전,11000,11000,10000,10000,9000,8000,8000,8000,8000,8000,10000,10000,9000,9000,10000,10000,9000,8000,8000,8000,9000,9000,8000,9000,9000,8000,9000,9000,9000,10000,10000,10000,10000,10000,10000,11000,10000,10000,9000,9000,9000,10000,10000,9000,9000,10000,11000,12000,13000,13000,12000,11000,11000,10000,10000,11000,11000,11000,11000,11000,10000,10000,10000,10000,10000,10000,11000,11000,10000,11000,13000,13000,11000,12000,13000,11500,11000,10500,10000,10500,10500,12000,13000,10000,10000,10000,10000,9500,9500,9500,9500,10000,11000,11000,12000,12000,12000,12000,12000,11000,11000,12000,11000,12000,11000,11500,12000,12000,12000,12000,12000,12000,11000,11000,13000,14000,16500,17500,17500,18000,18000,21000,22000,22000,22000,22000,23000,24000,23000,23000,23000,23000,21000,20000,19000,18000,17000,17000,16000,16000,16000,19000,22000,23000,22000,25000,27000,27000,35000,35000,40000,41000,42000,43000,44000,45000,45000,35000,36000,36000,36000,37000,35000,33000,38000,29000,30000,36000,40000,50000,55000,55000,52000,49000,50000,48000,46000,45000,45000,45000,41000,39000,38000,35000,35000,40000,37000,18000,17000,15000,11000,10000,10000,11000,11000,11000,12000,12000,12000,12000,12000,11000,11000,11000,12000,12000,12000,11000,11000,11000,11000,11000,10000,10000,10000,10000,10000,10000,9500,10000,10000,9000,9000,9000,9000,8000,9000,8000,7000,7000,7000,8000,9000,9000,9000,8500,8500,9500,10500,11500,10500,9500,9500,8500,8500,8500,10500,10500
