구분,2007-01-02,2007-01-03,2007-01-04,2007-01-05,2007-01-08,2007-01-09,2007-01-10,2007-01-11,2007-01-12,2007-01-15,2007-01-16,2007-01-17,2007-01-18,2007-01-19,2007-01-22,2007-01-23,2007-01-24,2007-01-25,2007-01-26,2007-01-29,2007-01-30,2007-01-31,2007-02-01,2007-02-02,2007-02-05,2007-02-06,2007-02-07,2007-02-08,2007-02-09,2007-02-12,2007-02-13,2007-02-14,2007-02-15,2007-02-16,2007-02-20,2007-02-21,2007-02-22,2007-02-23,2007-02-26,2007-02-27,2007-02-28,2007-03-02,2007-03-05,2007-03-06,2007-03-07,2007-03-08,2007-03-09,2007-03-12,2007-03-13,2007-03-14,2007-03-15,2007-03-16,2007-03-19,2007-03-20,2007-03-21,2007-03-22,2007-03-23,2007-03-26,2007-03-27,2007-03-28,2007-03-29,2007-03-30,2007-04-02,2007-04-03,2007-04-04,2007-04-05,2007-04-06,2007-04-09,2007-04-10,2007-04-11,2007-04-12,2007-04-13,2007-04-16,2007-04-17,2007-04-18,2007-04-19,2007-04-20,2007-04-23,2007-04-24,2007-04-25,2007-04-26,2007-04-27,2007-04-30,2007-05-02,2007-05-03,2007-05-04,2007-05-07,2007-05-08,2007-05-09,2007-05-10,2007-05-11,2007-05-14,2007-05-15,2007-05-16,2007-05-17,2007-05-18,2007-05-21,2007-05-22,2007-05-23,2007-05-25,2007-05-28,2007-05-29,2007-05-30,2007-05-31,2007-06-01,2007-06-04,2007-06-05,2007-06-07,2007-06-08,2007-06-11,2007-06-12,2007-06-13,2007-06-14,2007-06-15,2007-06-18,2007-06-19,2007-06-20,2007-06-21,2007-06-22,2007-06-25,2007-06-26,2007-06-27,2007-06-28,2007-06-29,2007-07-02,2007-07-03,2007-07-04,2007-07-05,2007-07-06,2007-07-09,2007-07-10,2007-07-11,2007-07-12,2007-07-13,2007-07-16,2007-07-18,2007-07-19,2007-07-20,2007-07-23,2007-07-24,2007-07-25,2007-07-26,2007-07-27,2007-07-30,2007-07-31,2007-08-01,2007-08-02,2007-08-03,2007-08-06,2007-08-07,2007-08-08,2007-08-09,2007-08-10,2007-08-13,2007-08-14,2007-08-16,2007-08-17,2007-08-20,2007-08-21,2007-08-22,2007-08-23,2007-08-24,2007-08-27,2007-08-28,2007-08-29,2007-08-30,2007-08-31,2007-09-03,2007-09-04,2007-09-05,2007-09-06,2007-09-07,2007-09-10,2007-09-11,2007-09-12,2007-09-13,2007-09-14,2007-09-17,2007-09-18,2007-09-19,2007-09-20,2007-09-21,2007-09-27,2007-09-28,2007-10-01,2007-10-02,2007-10-04,2007-10-05,2007-10-08,2007-10-09,2007-10-10,2007-10-11,2007-10-12,2007-10-15,2007-10-16,2007-10-17,2007-10-18,2007-10-19,2007-10-22,2007-10-23,2007-10-24,2007-10-25,2007-10-26,2007-10-29,2007-10-30,2007-10-31,2007-11-01,2007-11-02,2007-11-05,2007-11-06,2007-11-07,2007-11-08,2007-11-09,2007-11-12,2007-11-13,2007-11-14,2007-11-15,2007-11-16,2007-11-19,2007-11-20,2007-11-21,2007-11-22,2007-11-23,2007-11-26,2007-11-27,2007-11-28,2007-11-29,2007-11-30,2007-12-03,2007-12-04,2007-12-05,2007-12-06,2007-12-07,2007-12-10,2007-12-11,2007-12-12,2007-12-13,2007-12-14,2007-12-17,2007-12-18,2007-12-20,2007-12-21,2007-12-24,2007-12-26,2007-12-27,2007-12-28,2007-12-31
평균,"8,600","7,800","7,800","7,600","7,600","7,400","6,800","6,400","6,800","7,200","7,800","7,400","7,600","7,600","7,200","7,000","7,000","7,000","7,200","7,800","7,600","7,100","6,800","6,600","6,600","6,800","6,200","6,200","6,000","6,200","6,000","6,400","7,400","8,600","8,600","7,000","7,200","6,800","5,800","5,200","5,300","4,900","4,600","4,700","4,600","4,200","4,400","4,200","4,400","4,300","4,500","5,200","4,600","5,400","5,400","5,600","5,600","5,900","5,800","5,400","5,400","5,000","5,600","5,200","5,400","5,800","5,900","5,900","5,600","6,000","5,800","6,300","6,800","7,100","7,500","7,400","7,200","7,000","6,800","6,400","6,500","6,300","6,600","6,800","7,000","6,800","6,800","6,200","5,800","5,800","6,000","5,400","5,100","5,000","5,000","5,000","5,000","5,000","4,800","5,000","4,800","5,100","5,000","5,100","5,200","5,200","5,500","5,000","5,200","5,000","5,600","5,800","6,000","5,600","6,200","6,800","7,600","8,400","9,200","9,400","9,400","8,600","8,200","8,400","9,200","9,800","10,600","10,800","12,200","15,800","18,200","18,400","16,600","15,800","14,800","13,800","12,000","10,000","12,000","12,000","11,200","10,200","10,000","12,200","12,000","10,600","10,600","11,200","11,600","11,400","11,800","11,800","11,800","12,600","14,000","17,400","18,000","22,000","18,600","19,600","19,800","19,400","22,000","24,200","24,400","25,600","27,600","28,600","29,800","26,600","26,600","24,000","25,400","24,400","24,600","22,800","20,800","20,600","17,400","17,400","19,400","22,000","22,000","20,800","16,800","13,200","11,400","11,200","11,800","11,800","12,000","11,600","11,400","12,400","12,600","11,600","11,400","11,400","11,600","11,000","10,600","10,600","10,200","10,200","9,800","9,500","8,800","8,500","8,300","8,300","8,000","7,800","7,800","8,400","7,800","8,000","7,400","7,600","8,800","8,600","7,800","7,800","7,600","7,600","7,400","7,800","7,800","7,800","8,000","7,800","8,000","8,400","8,400","8,400","8,400","8,200","7,800","8,100","7,800","7,600","7,800","8,000","8,200","7,600","7,200","7,400","8,000"
평년,"6,657","6,887","7,083","7,200","7,163","7,000","6,813","6,713","6,667","6,738","6,822","6,907","6,990","7,007","6,940","6,880","6,907","6,930","7,080","7,530","7,503","7,460","7,457","7,500","7,677","7,667","7,620","7,600","7,540","7,380","7,280","7,227","7,150","7,080","6,630","6,507","6,378","6,255","6,033","5,987","5,907","5,892","5,713","5,677","5,583","5,507","5,427","5,195","5,200","5,140","5,167","5,163","5,140","5,123","5,100","5,053","5,007","4,822","4,823","4,838","4,840","4,877","4,922","4,973","4,987","4,943","4,937","5,098","5,100","5,097","5,100","5,163","5,153","5,160","5,250","5,307","5,323","5,490","5,467","5,433","5,407","5,377","5,377","5,453","5,513","5,563","5,670","5,727","5,840","5,987","6,005","5,998","5,945","5,903","5,853","5,850","6,003","6,040","6,055","6,197","6,393","6,477","6,503","6,540","6,562","6,470","6,437","6,473","6,512","6,577","6,633","6,665","6,680","6,780","7,005","7,033","7,107","7,080","7,073","7,322","7,412","7,418","7,567","7,823","8,617","8,803","9,167","9,547","9,833","11,077","11,337","11,577","12,400","13,473","15,187","15,177","15,187","15,050","14,357","14,290","14,327","14,227","14,073","14,137","14,260","14,387","14,747","15,097","16,290","16,740","16,970","17,373","17,827","18,880","19,300","20,013","20,787","22,270","22,650","22,917","23,333","23,947","24,463","24,473","24,580","24,947","24,580","23,050","22,907","22,893","22,547","22,073","21,337","21,250","21,150","20,933","20,543","19,393","18,733","17,500","16,757","15,940","13,717","13,390","12,067","11,757","11,400","11,013","10,203","10,020","9,807","9,613","9,503","8,747","8,513","8,353","8,160","7,907","7,303","7,175","7,092","6,927","6,893","7,013","7,097","7,093","7,007","6,980","6,707","6,603","6,503","6,393","6,297","5,975","5,983","5,927","5,900","5,857","5,715","5,673","5,727","5,847","5,960","6,068","6,083","6,127","6,140","6,167","6,127","6,090","6,130","6,213","6,302","6,383","6,400","6,467","6,493","6,540","6,713","6,677","6,900","6,897","6,942","6,807","6,760","6,700","6,870"
서울,"14,000","10,000","11,000","11,000","11,000","11,000","9,000","9,000","12,000","12,000","13,000","12,000","12,000","12,000","11,000","11,000","10,000","10,000","10,000","10,000","10,000","9,500","9,000","9,000","9,000","10,000","9,000","9,000","9,000","9,000","9,000","9,000","13,000","13,000","13,000","9,000","9,000","8,000","6,000","5,000","6,000","5,000","5,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","8,000","6,000","7,000","7,000","7,000","6,000","6,500","7,000","7,000","6,500","6,000","7,000","7,000","7,000","7,000","7,500","6,500","6,000","6,000","6,000","6,000","7,000","7,000","8,000","8,000","7,000","7,000","7,000","6,000","5,500","5,500","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,500","5,000","5,000","5,000","5,000","6,000","6,000","6,000","7,000","8,000","8,000","9,000","10,000","10,000","10,000","9,000","8,000","8,000","9,000","9,000","9,000","10,000","13,000","16,000","17,000","18,000","16,000","15,000","15,000","14,000","13,000","11,000","14,000","12,000","12,000","10,000","10,000","15,000","13,000","10,000","10,000","10,000","13,000","12,000","12,000","11,000","10,000","12,000","16,000","14,000","12,000","15,000","12,000","13,000","13,000","14,000","20,000","22,000","20,000","20,000","20,000","22,000","25,000","22,000","18,000","14,000","23,000","23,000","20,000","14,000","14,000","12,000","12,000","19,000","16,000","19,000","19,000","19,000","10,000","9,000","10,000","10,000","10,000","11,000","12,000","11,000","11,000","14,000","14,000","12,000","12,000","13,000","14,000","12,000","12,000","12,000","12,000","10,000","10,000","9,000","9,000","10,000","8,000","9,000","8,000","8,000","8,000","11,000","9,000","9,000","8,000","9,000","12,000","12,000","10,000","9,000","8,000","8,000","8,000","8,000","9,000","9,000","10,000","8,000","8,000","10,000","10,000","10,000","11,000","9,000","8,000","9,000","9,000","10,000","10,000","9,000","10,000","8,000","8,000","8,000","10,000"
부산,"9,000","8,000","7,000","7,000","7,000","7,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","7,000","7,000","10,000","10,000","8,000","8,000","8,000","7,000","7,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000","6,500","7,500","7,500","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","7,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","10,000","10,000","10,000","10,000","17,000","25,000","20,000","17,000","16,000","14,000","12,000","12,000","11,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","13,000","16,000","14,000","20,000","20,000","23,000","23,000","23,000","20,000","20,000","20,000","22,000","25,000","25,000","28,000","28,000","28,000","28,000","30,000","28,000","28,000","28,000","23,000","23,000","19,000","18,000","18,000","20,000","20,000","20,000","18,000","16,000","11,000","11,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","9,000","9,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","9,000","9,000","9,000","9,000","9,000","9,000","8,000","8,000","8,000","8,000"
대구,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","7,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000","6,000","7,000","8,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","10,000","11,000","12,000","15,000","16,000","16,000","16,000","15,000","14,000","14,000","13,000","11,000","12,000","12,000","12,000","11,000","10,000","10,000","10,000","10,000","10,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","14,000","14,000","14,000","14,000","14,000","15,000","17,000","17,000","19,000","25,000","25,000","25,000","28,000","28,000","25,000","23,000","23,000","25,000","25,000","22,000","22,000","20,000","20,000","20,000","17,000","17,000","20,000","20,000","20,000","20,000","15,000","13,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","11,000","13,000","13,000","13,000","12,000","10,000","10,000","9,000","9,000","9,000","8,000","8,000","8,000","8,000","8,000","8,000","9,000","9,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","9,000","9,000","8,000","8,000","8,000"
광주,"6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","4,000","5,000","5,000","5,000","5,000","5,000","4,000","3,500","4,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","7,000","7,000","7,000","7,000","7,000","6,000","5,000","6,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","6,000","5,000","5,000","6,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","5,000","6,000","5,000","5,000","4,000","4,000","4,000","5,000","5,000","5,000","5,000","6,000","7,000","7,000","9,000","9,000","8,000","9,000","7,000","7,000","7,000","9,000","9,000","10,000","11,000","12,000","14,000","14,000","16,000","16,000","12,000","14,000","14,000","9,000","6,000","11,000","15,000","12,000","10,000","9,000","13,000","13,000","11,000","11,000","14,000","10,000","12,000","12,000","15,000","15,000","15,000","15,000","23,000","28,000","35,000","26,000","26,000","26,000","24,000","31,000","33,000","33,000","33,000","38,000","35,000","35,000","30,000","32,000","30,000","26,000","25,000","26,000","26,000","25,000","25,000","20,000","19,000","25,000","28,000","28,000","32,000","20,000","15,000","12,000","13,000","15,000","15,000","16,000","12,000","13,000","13,000","13,000","13,000","12,000","10,000","10,000","10,000","8,000","9,000","9,000","8,000","8,000","8,000","7,000","7,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","6,000","5,000","6,000","6,000","7,000","6,000","6,000","6,000","7,000"
대전,"6,000","7,000","8,000","7,000","7,000","6,000","6,000","5,000","5,000","6,000","7,000","6,000","7,000","7,000","6,000","5,000","6,000","6,000","7,000","9,000","10,000","8,000","7,000","6,000","6,000","6,000","5,000","5,000","4,000","5,000","4,000","5,000","6,000","8,000","8,000","6,000","7,000","6,000","5,000","4,000","4,500","3,500","4,000","3,500","4,000","3,000","4,000","3,000","4,000","3,500","4,500","5,000","4,000","5,000","4,000","5,000","6,000","6,500","7,000","6,000","7,000","5,000","6,000","5,000","6,000","7,000","6,000","7,000","6,000","7,000","6,000","7,000","6,500","7,000","7,500","7,000","7,000","7,000","7,000","6,000","7,000","6,000","6,000","7,000","8,000","7,000","8,000","7,000","6,000","6,000","7,000","6,000","5,500","5,000","5,000","5,000","5,000","6,000","5,000","6,000","5,000","5,500","5,000","5,500","5,000","6,000","7,000","6,000","7,000","6,000","8,000","7,000","8,000","6,000","7,000","6,000","8,000","8,000","10,000","11,000","10,000","9,000","8,000","9,000","10,000","12,000","14,000","12,000","14,000","17,000","19,000","22,000","18,000","21,000","17,000","15,000","13,000","11,000","13,000","11,000","10,000","10,000","11,000","13,000","14,000","12,000","12,000","11,000","14,000","12,000","14,000","12,000","13,000","15,000","15,000","20,000","22,000","26,000","21,000","22,000","22,000","19,000","22,000","27,000","24,000","28,000","30,000","33,000","33,000","28,000","32,000","25,000","23,000","21,000","27,000","24,000","22,000","23,000","16,000","14,000","21,000","23,000","23,000","13,000","16,000","11,000","11,000","10,000","12,000","11,000","10,000","13,000","11,000","13,000","14,000","11,000","11,000","12,000","12,000","11,000","11,000","10,000","9,000","10,000","8,000","7,500","7,000","6,500","6,500","6,500","7,000","7,000","8,000","8,000","7,000","8,000","7,000","7,000","9,000","8,000","7,000","8,000","8,000","8,000","7,000","8,000","7,000","8,000","7,000","8,000","8,000","8,000","8,000","8,000","7,000","8,000","7,000","6,500","7,000","6,000","6,000","8,000","6,000","7,000","6,000","7,000","7,000"
