,date,mean
1,2001-02-28,-0.05715841383994835
2,2001-03-31,0.0
3,2001-04-30,0.3166696093250323
4,2001-05-31,-0.17095779814363965
5,2001-06-30,0.7099542988763261
6,2001-07-31,0.43825493093115675
7,2001-08-31,0.3036824137982208
8,2001-09-30,-1.280933845462064
9,2001-10-31,-0.18805223150294026
10,2001-11-30,0.0
11,2001-12-31,0.0984400728132524
12,2002-01-31,-0.031748698314579826
13,2002-02-28,-0.23531408693446387
14,2002-03-31,-0.280902385466403
15,2002-04-30,0.41443377809092574
16,2002-05-31,0.33135713595444116
17,2002-06-30,-0.13720112151348474
18,2002-07-31,0.5679840376059389
19,2002-08-31,0.4700036292457366
20,2002-09-30,-0.5570150062353658
21,2002-10-31,-0.3964152725882464
22,2002-11-30,0.10265415406008316
23,2002-12-31,0.0
24,2003-01-31,0.21825356602001733
25,2003-02-28,-0.547435369378551
26,2003-03-31,-0.24889604741662374
27,2003-04-30,0.0
28,2003-05-31,0.19671029424605457
29,2003-06-30,0.2513144282809048
30,2003-07-31,0.45953232937844035
31,2003-08-31,0.46780823868230037
32,2003-09-30,-0.3061668871258849
33,2003-10-31,-0.6211736809348558
34,2003-11-30,-0.34484048629172825
35,2003-12-31,-0.04000533461369926
36,2004-01-31,0.2670627852490437
37,2004-02-29,-0.0984400728132524
38,2004-03-31,-0.10919929196499112
39,2004-04-30,-0.05942342047080018
40,2004-05-31,0.3848458209054275
41,2004-06-30,0.2876820724517817
42,2004-07-31,0.7827593392496315
43,2004-08-31,0.21357410029805912
44,2004-09-30,-0.6628418310646165
45,2004-10-31,-0.708185057924485
46,2004-11-30,-0.20067069546215066
47,2004-12-31,-0.11778303565638382
48,2005-01-31,0.23967285326541976
49,2005-02-28,-0.06782259633876109
50,2005-03-31,-0.11122563511022321
51,2005-04-30,0.01941808585710092
52,2005-05-31,0.3114361584598875
53,2005-06-30,0.1681369218019988
54,2005-07-31,0.33986782562235085
55,2005-08-31,0.9723185633438174
56,2005-09-30,-0.6072047507592195
57,2005-10-31,-0.8317333438460928
58,2005-11-30,-0.20972053098206977
59,2005-12-31,0.2494608596315846
60,2006-01-31,0.1560042484765809
61,2006-02-28,-0.11778303565638382
62,2006-03-31,-0.41173472112176057
63,2006-04-30,0.29238796348919394
64,2006-05-31,-0.11954515064978288
65,2006-06-30,0.16093036681263762
66,2006-07-31,0.8198988861990895
67,2006-08-31,0.5108256237659905
68,2006-09-30,-1.180442306915742
69,2006-10-31,-0.6476848064831877
70,2006-11-30,0.4700036292457348
71,2006-12-31,0.15415067982725894
72,2007-01-31,-0.1681369218019988
73,2007-02-28,-0.29238796348919394
74,2007-03-31,-0.05826890812397423
75,2007-04-30,0.2776317365982788
76,2007-05-31,-0.257829109302099
77,2007-06-30,0.4989911661189872
78,2007-07-31,0.35667494393873156
79,2007-08-31,0.8329091229351047
80,2007-09-30,-0.2828627860158317
81,2007-10-31,-0.783661188100778
82,2007-11-30,-0.19716806491094907
83,2007-12-31,0.025317807984290397
84,2008-01-31,-0.025317807984290397
85,2008-02-29,-0.1978257433299202
86,2008-03-31,-0.44531101665536355
87,2008-04-30,0.23767165187712003
88,2008-05-31,0.268263986594679
89,2008-06-30,0.1872115420881464
90,2008-07-31,0.5491078103370075
91,2008-08-31,0.5331106685554268
92,2008-09-30,-0.752739277762192
93,2008-10-31,-0.6757554378480766
94,2008-11-30,-0.01739174271186883
95,2008-12-31,0.01739174271186883
96,2009-01-31,0.48285177172358473
97,2009-02-28,-0.4657573383642841
98,2009-03-31,0.03333642026759165
99,2009-04-30,0.295845383090942
100,2009-05-31,-0.24783616390458185
101,2009-06-30,0.24783616390458185
102,2009-07-31,0.5491078103370075
103,2009-08-31,0.3817110221000579
104,2009-09-30,-0.6740989855892519
105,2009-10-31,-0.35937400090789673
106,2009-11-30,0.23922968906583364
107,2009-12-31,0.27698678333503324
108,2010-01-31,0.14953173397096364
109,2010-02-28,-0.2876820724517799
110,2010-03-31,0.105360515657825
111,2010-04-30,-0.05129329438755015
112,2010-05-31,0.06782259633876109
113,2010-06-30,0.06351340572232544
114,2010-07-31,0.4795730802618863
115,2010-08-31,0.6592456288842641
116,2010-09-30,-0.594707107746693
117,2010-10-31,-0.6241543090729937
118,2010-11-30,-0.3331444465285376
119,2010-12-31,0.04546237407675768
120,2011-01-31,0.2537805207760986
121,2011-02-28,-0.23180161405732314
122,2011-03-31,-0.42744401482694094
123,2011-04-30,0.33647223662121384
124,2011-05-31,0.5389965007326865
125,2011-06-30,-0.1823215567939549
126,2011-07-31,0.4803664162812833
127,2011-08-31,0.5900749954201299
128,2011-09-30,-0.8080771472339219
129,2011-10-31,-0.7731898882334818
130,2011-11-30,-0.05715841383994835
131,2011-12-31,0.26912866455603357
132,2012-01-31,0.4092034302187706
133,2012-02-29,-0.015037877364539654
134,2012-03-31,-0.2384110234449981
135,2012-04-30,-0.21357410029805912
136,2012-05-31,0.0909717782057271
137,2012-06-30,0.16034265007517945
138,2012-07-31,0.7646061445420891
139,2012-08-31,0.6263071624340952
140,2012-09-30,-0.7949298748698883
141,2012-10-31,-0.6337237600891434
142,2012-11-30,0.1758906664636637
143,2012-12-31,0.17693070815907852
144,2013-01-31,-0.04138521616285473
145,2013-02-28,-0.5991182309116692
146,2013-03-31,-0.22957444164450003
147,2013-04-30,0.6603573577369541
148,2013-05-31,-0.5389965007326865
149,2013-06-30,0.5877866649021186
150,2013-07-31,0.7010523600670595
151,2013-08-31,0.704888998436628
152,2013-09-30,-1.0604397151630796
153,2013-10-31,-0.7274362540385777
