구분,2004-01-02,2004-01-03,2004-01-05,2004-01-06,2004-01-07,2004-01-08,2004-01-09,2004-01-10,2004-01-12,2004-01-13,2004-01-14,2004-01-15,2004-01-16,2004-01-17,2004-01-19,2004-01-20,2004-01-24,2004-01-26,2004-01-27,2004-01-28,2004-01-29,2004-01-30,2004-01-31,2004-02-02,2004-02-03,2004-02-04,2004-02-05,2004-02-06,2004-02-07,2004-02-09,2004-02-10,2004-02-11,2004-02-12,2004-02-13,2004-02-14,2004-02-16,2004-02-17,2004-02-18,2004-02-19,2004-02-20,2004-02-21,2004-02-23,2004-02-24,2004-02-25,2004-02-26,2004-02-27,2004-02-28,2004-03-02,2004-03-03,2004-03-04,2004-03-05,2004-03-06,2004-03-08,2004-03-09,2004-03-10,2004-03-11,2004-03-12,2004-03-13,2004-03-15,2004-03-16,2004-03-17,2004-03-18,2004-03-19,2004-03-20,2004-03-22,2004-03-23,2004-03-24,2004-03-25,2004-03-26,2004-03-27,2004-03-29,2004-03-30,2004-03-31,2004-04-01,2004-04-02,2004-04-03,2004-04-06,2004-04-07,2004-04-08,2004-04-09,2004-04-10,2004-04-12,2004-04-13,2004-04-14,2004-04-16,2004-04-17,2004-04-19,2004-04-20,2004-04-21,2004-04-22,2004-04-23,2004-04-24,2004-04-26,2004-04-27,2004-04-28,2004-04-29,2004-04-30,2004-05-01,2004-05-03,2004-05-04,2004-05-06,2004-05-07,2004-05-08,2004-05-10,2004-05-11,2004-05-12,2004-05-13,2004-05-14,2004-05-15,2004-05-17,2004-05-18,2004-05-19,2004-05-20,2004-05-21,2004-05-22,2004-05-24,2004-05-25,2004-05-27,2004-05-28,2004-05-29,2004-05-31,2004-06-01,2004-06-02,2004-06-03,2004-06-04,2004-06-05,2004-06-07,2004-06-08,2004-06-09,2004-06-10,2004-06-11,2004-06-12,2004-06-14,2004-06-15,2004-06-16,2004-06-17,2004-06-18,2004-06-19,2004-06-21,2004-06-22,2004-06-23,2004-06-24,2004-06-25,2004-06-26,2004-06-28,2004-06-29,2004-06-30,2004-07-01,2004-07-02,2004-07-05,2004-07-06,2004-07-07,2004-07-08,2004-07-09,2004-07-12,2004-07-13,2004-07-14,2004-07-15,2004-07-16,2004-07-19,2004-07-20,2004-07-21,2004-07-22,2004-07-23,2004-07-26,2004-07-27,2004-07-28,2004-07-29,2004-07-30,2004-08-02,2004-08-03,2004-08-04,2004-08-05,2004-08-06,2004-08-09,2004-08-10,2004-08-11,2004-08-12,2004-08-13,2004-08-15,2004-08-16,2004-08-17,2004-08-18,2004-08-19,2004-08-20,2004-08-23,2004-08-24,2004-08-25,2004-08-26,2004-08-27,2004-08-30,2004-08-31,2004-09-01,2004-09-02,2004-09-03,2004-09-06,2004-09-07,2004-09-08,2004-09-09,2004-09-10,2004-09-13,2004-09-14,2004-09-15,2004-09-16,2004-09-17,2004-09-20,2004-09-21,2004-09-22,2004-09-23,2004-09-24,2004-09-30,2004-10-01,2004-10-04,2004-10-05,2004-10-06,2004-10-07,2004-10-08,2004-10-11,2004-10-12,2004-10-13,2004-10-14,2004-10-15,2004-10-18,2004-10-19,2004-10-20,2004-10-21,2004-10-22,2004-10-25,2004-10-26,2004-10-27,2004-10-28,2004-10-29,2004-11-01,2004-11-02,2004-11-03,2004-11-04,2004-11-05,2004-11-08,2004-11-09,2004-11-10,2004-11-11,2004-11-12,2004-11-15,2004-11-16,2004-11-17,2004-11-18,2004-11-19,2004-11-22,2004-11-23,2004-11-24,2004-11-25,2004-11-26,2004-11-29,2004-11-30,2004-12-02,2004-12-03,2004-12-06,2004-12-07,2004-12-08,2004-12-09,2004-12-10,2004-12-13,2004-12-14,2004-12-15,2004-12-16,2004-12-17,2004-12-20,2004-12-21,2004-12-24,2004-12-27,2004-12-28,2004-12-29,2004-12-30,2004-12-31
평균,"5,100","5,400","5,600","5,600","5,400","5,200","4,700","4,700","4,600","4,500","4,600","4,600","5,000","5,600","6,000","5,800","5,800","6,000","6,800","7,300","7,200","6,800","6,400","6,400","6,600","6,600","6,300","6,600","7,000","7,200","7,400","7,200","7,200","7,300","7,300","7,800","7,400","7,600","7,400","7,100","6,700","6,500","6,400","6,400","6,000","5,800","5,800","5,900","5,500","5,600","5,400","5,400","5,800","6,000","6,200","6,600","6,100","6,100","5,800","5,900","5,800","5,700","5,300","5,100","5,600","5,400","5,100","4,900","4,800","4,800","4,800","5,200","5,200","4,900","4,700","5,000","5,300","5,800","5,400","5,200","5,200","5,500","5,300","5,300","5,300","5,100","5,300","4,900","4,700","4,700","4,700","4,700","4,800","4,900","4,900","5,000","4,900","4,900","5,200","5,500","5,400","5,400","5,400","5,800","6,000","6,000","5,600","5,600","5,600","5,800","5,800","6,100","6,400","6,400","6,400","6,600","6,700","7,000","7,100","7,100","7,200","7,200","7,300","7,000","7,000","7,000","7,500","7,300","7,100","7,100","6,900","6,900","6,900","6,900","6,900","7,100","7,100","7,100","7,400","7,200","7,000","7,200","7,400","7,400","9,500","10,000","9,600","10,000","10,200","10,200","10,200","10,800","10,800","11,400","11,400","18,600","19,600","17,600","17,000","21,600","20,400","19,400","19,400","19,000","22,400","22,200","21,000","21,000","21,000","21,400","21,000","21,400","21,400","21,600","21,000","21,200","20,800","20,800","21,000","21,000","21,400","21,400","21,800","21,800","23,200","25,000","26,600","26,200","27,000","27,600","27,000","26,000","24,600","23,400","21,400","21,400","21,000","20,200","19,800","17,200","15,800","14,800","13,800","12,800","12,600","13,200","11,800","11,800","12,800","13,400","13,400","13,800","11,800","10,400","9,600","9,400","10,000","9,400","9,200","9,400","9,200","8,600","8,200","8,000","7,600","7,100","6,800","6,800","6,800","6,200","6,600","6,600","7,200","7,200","6,900","7,400","6,400","6,400","6,400","6,000","6,200","6,000","6,400","6,200","6,200","5,700","5,400","5,600","5,200","5,100","5,000","4,900","5,100","5,400","5,000","4,800","4,900","4,900","4,800","4,800","4,900","4,900","4,900","4,500","4,300","4,300","4,600","4,600","4,600","4,700","4,400","4,400","4,400","4,800"
평년,"6,538","6,575","6,827","6,863","6,807","6,733","6,650","6,528","6,347","6,253","6,213","6,228","6,315","6,487","6,956","7,109","7,107","7,107","6,988","6,895","6,733","6,497","6,278","6,024","5,960","5,881","5,831","5,824","5,845","5,937","5,997","6,014","6,024","6,017","5,980","5,837","5,795","5,703","5,651","5,591","5,550","5,329","5,247","5,180","5,124","5,078","5,045","5,004","4,975","4,949","4,925","4,840","4,743","4,699","4,653","4,613","4,570","4,547","4,467","4,427","4,393","4,373","4,370","4,353","4,293","4,260","4,233","4,227","4,235","4,257","4,319","4,353","4,401","4,439","4,475","4,515","4,570","4,592","4,590","4,648","4,707","4,827","4,891","4,938","5,205","5,363","5,656","5,711","5,697","5,657","5,608","5,520","5,397","5,337","5,248","5,233","5,299","5,323","5,389","5,385","5,477","5,515","5,477","5,588","5,611","5,658","5,663","5,718","5,787","5,820","5,863","5,923","5,921","5,936","5,968","5,941","5,956","6,011","5,988","5,941","5,889","5,922","5,958","6,005","6,019","6,089","6,227","6,327","6,417","6,535","6,652","6,787","6,893","6,947","7,008","7,057","7,090","7,201","7,419","7,663","7,807","7,880","7,943","7,993","8,173","8,250","8,350","8,503","8,727","9,727","10,033","10,313","10,580","10,857","11,140","11,198","11,320","11,467","11,540","11,947","12,123","12,230","12,333","12,340","12,653","12,840","12,997","13,107","13,303","14,173","14,890","15,693","16,307","17,000","17,933","18,167","18,477","18,975","19,540","20,400","20,573","20,810","20,690","20,460","20,413","19,973","19,797","19,663","19,533","19,447","19,747","20,073","20,413","20,807","20,877","20,800","20,770","20,440","20,393","20,440","20,227","20,240","20,183","20,067","19,727","18,133","18,003","17,847","17,287","16,813","12,360","11,793","11,027","10,727","10,480","10,200","9,963","8,987","8,743","8,527","8,267","8,020","7,533","7,430","7,403","7,327","7,227","6,947","6,977","6,980","7,025","7,020","6,820","6,773","6,777","6,740","6,767","6,627","6,570","6,507","6,447","6,373","6,307","6,237","6,120","5,990","5,853","5,620","5,567","5,493","5,487","5,480","5,427","5,413","5,400","5,340","5,367","5,373","5,353","5,353","5,353","5,473","5,527","5,620","5,670","5,673","5,833","5,933","6,220","6,067","6,047","6,027","6,020","6,067"
서울,"7,000","8,000","8,000","9,000","8,000","7,000","6,000","6,000","6,000","5,000","6,000","6,000","7,000","8,000","10,000","8,000","8,000","9,000","10,000","10,000","10,000","9,000","8,000","8,000","8,000","8,000","8,000","9,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","7,000","7,000","7,000","7,000","7,000","8,000","9,000","9,000","8,000","8,000","8,000","8,000","7,500","7,000","6,500","6,500","7,000","7,000","6,500","6,000","6,000","6,000","7,000","7,500","7,500","6,500","6,000","6,500","7,000","8,000","7,000","7,000","7,000","8,000","7,000","7,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","7,000","7,000","6,000","6,000","6,000","6,000","7,000","7,000","6,000","6,000","6,000","6,000","6,000","6,500","7,000","7,000","7,000","8,000","7,000","7,500","7,500","7,500","7,000","6,500","7,000","6,000","6,000","6,000","7,000","7,000","6,000","6,000","5,000","5,000","6,000","6,000","6,000","7,000","7,000","7,000","8,000","7,000","6,000","7,000","8,000","8,000","12,000","12,000","10,000","12,000","10,000","12,000","11,000","12,000","12,000","14,000","14,000","24,000","22,000","20,000","18,000","20,000","20,000","20,000","18,000","18,000","18,000","18,000","20,000","20,000","22,000","22,000","20,000","22,000","22,000","20,000","20,000","22,000","20,000","20,000","22,000","22,000","22,000","22,000","22,000","22,000","25,000","25,000","28,000","26,000","27,000","30,000","27,000","25,000","23,000","23,000","22,000","22,000","22,000","20,000","18,000","12,000","15,000","13,000","10,000","9,000","9,000","9,000","9,000","12,000","14,000","15,000","15,000","15,000","12,000","10,000","9,000","9,000","11,000","11,000","11,000","11,000","11,000","9,000","9,000","9,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","9,000","9,000","9,500","10,000","8,000","8,000","8,000","7,000","7,000","7,000","8,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","6,000","5,500","5,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,500","6,500","6,500","5,000","5,000","5,000","6,000","6,000","6,000","6,500","5,000","5,000","5,000","5,000"
부산,"5,000","5,000","6,000","5,000","5,000","5,000","4,500","4,500","4,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","5,000","7,000","8,000","9,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","7,000","7,000","8,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","6,000","5,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,500","4,500","4,500","4,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","7,000","7,000","6,000","6,000","6,000","6,000","7,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,500","7,500","7,000","7,000","7,000","8,500","7,500","7,500","7,500","7,500","7,500","7,500","7,500","7,500","7,500","7,500","7,500","7,000","7,000","7,000","7,000","7,000","7,000","10,000","12,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","20,000","24,000","20,000","18,000","33,000","28,000","21,000","21,000","21,000","28,000","25,000","23,000","23,000","23,000","20,000","20,000","20,000","21,000","21,000","21,000","20,000","20,000","20,000","20,000","20,000","23,000","21,000","21,000","21,000","21,000","23,000","25,000","25,000","25,000","25,000","25,000","22,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","23,000","18,000","18,000","18,000","18,000","18,000","15,000","13,000","11,000","13,000","13,000","13,000","15,000","12,000","11,000","11,000","10,000","10,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
대구,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,500","6,500","6,500","6,500","6,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,500","5,500","5,500","5,500","5,500","5,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","5,000","5,000","5,000","5,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","4,500","4,500","4,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,500","8,000","8,000","8,000","8,000","8,000","9,000","9,000","9,000","9,000","9,000","13,000","13,000","13,000","13,000","16,000","18,000","18,000","18,000","16,000","16,000","18,000","20,000","20,000","18,000","20,000","20,000","20,000","22,000","22,000","22,000","22,000","22,000","22,000","21,000","21,000","20,000","20,000","20,000","20,000","20,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","22,000","22,000","22,000","20,000","20,000","20,000","20,000","17,000","17,000","16,000","16,000","16,000","16,000","13,000","13,000","15,000","15,000","15,000","14,000","13,000","11,000","11,000","11,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","6,000","6,000","6,000","5,000","5,000","5,500","5,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
광주,"3,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","6,000","4,000","5,000","5,000","4,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,500","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000","6,000","6,500","6,500","7,000","7,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","10,000","10,000","10,000","10,000","12,000","12,000","12,000","12,000","23,000","23,000","20,000","20,000","25,000","20,000","20,000","20,000","20,000","25,000","25,000","22,000","22,000","22,000","25,000","25,000","25,000","22,000","25,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","28,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","24,000","21,000","21,000","21,000","21,000","21,000","16,000","12,000","12,000","12,000","11,000","11,000","17,000","12,000","14,000","14,000","14,000","14,000","14,000","11,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","9,000","7,000","7,000","7,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","6,000"
대전,"5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,500","4,000","4,000","5,000","5,000","6,000","6,000","6,000","5,000","6,000","6,500","7,000","7,000","6,000","5,000","6,000","6,000","5,000","4,000","5,000","6,000","7,000","7,000","6,000","6,500","6,500","8,000","7,000","8,000","7,000","7,000","7,000","6,000","5,500","5,500","5,000","5,000","5,000","4,500","4,500","5,000","4,000","4,000","6,000","6,000","7,000","7,000","7,000","7,000","5,500","6,000","6,000","6,000","5,000","4,000","6,000","5,000","4,500","4,000","3,500","3,500","4,500","6,000","6,000","5,500","5,000","5,000","6,000","7,000","6,000","5,000","5,000","6,000","6,000","6,000","7,000","6,000","7,000","5,000","4,500","4,500","4,500","4,500","5,000","4,500","4,500","5,000","4,500","4,500","5,000","6,000","6,500","6,500","6,500","6,000","6,000","7,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","10,000","10,000","11,000","9,000","12,000","10,000","10,000","10,000","10,000","11,000","11,000","13,000","16,000","15,000","16,000","14,000","16,000","18,000","20,000","20,000","25,000","25,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","22,000","24,000","24,000","22,000","22,000","25,000","25,000","28,000","28,000","28,000","28,000","25,000","25,000","22,000","22,000","20,000","20,000","20,000","15,000","14,000","14,000","12,000","10,000","9,000","9,000","9,000","9,000","10,000","10,000","10,000","10,000","10,000","8,000","7,000","7,000","8,000","9,000","8,000","9,000","8,000","8,000","7,000","7,000","6,000","5,500","6,000","6,000","7,000","5,000","7,000","7,000","7,000","7,000","5,000","7,000","5,000","6,000","6,000","5,000","6,000","5,000","6,000","5,000","6,000","4,500","4,000","5,000","4,000","4,500","4,000","4,000","4,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","3,500","3,500","3,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
