구분,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-05,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-02,2019-05-03,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-27,2019-05-28,2019-05-29,2019-05-30,2019-05-31,2019-06-03,2019-06-04,2019-06-05,2019-06-07,2019-06-10,2019-06-11,2019-06-12,2019-06-13,2019-06-14,2019-06-17,2019-06-18,2019-06-19,2019-06-20,2019-06-21,2019-06-24,2019-06-25,2019-06-26,2019-06-27,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-04,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19,2019-07-22,2019-07-23,2019-07-24,2019-07-25,2019-07-26,2019-07-29,2019-07-30,2019-07-31,2019-08-01,2019-08-02,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-12,2019-08-13,2019-08-14,2019-08-16,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-09,2019-09-10,2019-09-11,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-30,2019-10-01,2019-10-02,2019-10-04,2019-10-07,2019-10-08,2019-10-10,2019-10-11,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-23,2019-12-24,2019-12-26,2019-12-27,2019-12-30,2019-12-31
평균,"9,800","10,400","10,000","9,800","8,800","9,000","9,000","9,000","8,600","8,200","8,000","8,000","8,400","8,600","9,000","9,200","9,400","9,400","8,400","8,600","8,600","8,600","9,800","9,800","9,400","8,800","8,600","8,600","8,400","8,200","8,200","8,600","9,200","8,800","9,000","8,200","8,000","8,400","8,000","8,400","8,400","8,200","7,800","7,800","7,800","7,800","8,000","7,400","7,000","7,600","7,200","7,200","8,200","8,000","8,000","7,800","7,800","8,200","8,400","8,200","8,200","8,200","8,400","8,400","9,400","10,400","10,000","9,800","11,200","9,800","10,000","9,600","9,600","9,400","8,600","8,800","8,200","8,200","8,200","8,000","8,000","7,800","8,200","8,500","8,500","9,550","9,800","9,700","9,500","9,300","9,100","9,200","8,800","8,800","8,700","9,300","9,300","10,000","9,200","10,200","11,200","11,200","12,600","12,800","12,200","11,600","11,600","11,600","10,800","10,000","10,200","10,000","10,000","10,600","10,800","11,200","10,800","10,600","11,200","11,600","12,800","13,200","12,600","13,000","14,400","14,400","16,600","18,000","18,400","19,200","18,800","21,000","20,200","17,200","16,200","15,600","16,400","16,400","16,800","17,600","17,800","20,800","23,400","25,600","28,000","30,400","34,600","38,600","36,400","40,400","38,600","42,400","41,800","37,600","40,000","42,200","39,800","42,400","43,800","43,400","43,000","41,400","37,200","35,800","33,800","33,600","32,600","31,200","29,400","29,000","34,000","37,400","40,200","38,000","40,000","37,600","35,000","32,200","31,400","28,600","26,600","25,000","26,600","28,200","24,600","24,200","19,200","16,800","17,200","17,800","18,800","19,600","21,000","22,200","21,600","21,600","19,400","18,200","17,400","17,400","16,400","14,000","13,600","13,200","11,400","11,200","10,400","10,400","11,000","11,000","11,000","10,200","10,200","10,400","9,800","9,000","9,600","10,000","10,000","10,200","10,000","9,600","9,600","8,800","8,800","9,200","9,400","9,000","9,200","10,000","10,200","9,800","10,000","11,200","10,600","10,600","10,400","10,600","10,000","10,000","9,600","8,800","8,800","8,800","9,800","11,200"
평년,"10,697","10,683","10,753","10,747","10,637","10,397","10,227","10,070","9,660","9,727","9,753","9,777","9,850","10,077","10,313","10,473","10,620","10,763","11,323","11,413","11,517","11,590","11,753","12,067","12,067","11,830","11,830","11,797","11,710","11,553","11,018","10,925","10,882","10,842","10,698","10,212","10,105","9,987","10,010","9,933","9,800","9,757","9,647","9,453","9,000","8,953","8,863","8,760","8,597","8,567","8,607","8,660","8,713","8,793","8,713","8,670","8,683","8,723","8,830","9,307","9,420","9,533","9,680","9,773","9,670","9,663","9,663","9,703","9,710","10,167","10,430","10,623","10,693","10,633","10,710","10,677","10,570","10,493","10,403","10,650","10,560","10,373","10,253","9,950","9,963","10,037","10,127","10,387","10,353","10,110","9,913","9,900","9,373","9,273","9,317","9,307","9,597","10,085","10,152","10,263","10,353","10,100","9,967","10,010","9,973","10,000","10,380","10,380","10,293","10,212","10,090","10,103","10,160","10,227","10,441","10,654","11,015","11,227","11,604","11,790","11,883","12,140","12,123","12,337","12,547","12,923","14,460","14,760","14,963","15,767","16,740","18,073","18,200","18,500","18,807","19,000","19,690","19,893","20,187","20,797","21,537","23,363","24,137","25,483","26,637","27,263","32,453","33,530","33,700","33,940","34,873","38,460","39,243","39,230","40,180","44,617","45,300","45,497","45,463","45,810","45,500","45,207","45,127","44,720","44,733","42,080","41,473","40,083","38,613","36,493","31,190","30,737","29,477","22,717","22,333","21,720","20,893","18,907","15,597","15,477","15,360","15,030","14,610","13,533","13,200","13,013","12,840","12,623","12,570","12,267","11,887","11,217","11,263","11,267","11,370","11,447","11,640","11,563","11,387","11,160","10,983","10,703","10,600","10,613","10,597","10,690","10,880","10,940","10,947","10,820","10,660","10,340","10,330","10,227","10,127","9,980","9,973","10,073","10,133","10,167","10,253","9,987","10,040","9,947","9,800","9,653","9,917","9,933","9,940","10,017","9,910","9,923","10,000","10,050","10,070","10,553","10,610","10,710","10,737","10,787","10,567","10,517","10,523","10,563","10,690","10,853"
서울,"12,000","14,000","13,000","13,000","12,000","12,000","12,000","12,000","12,000","12,000","10,000","10,000","10,000","10,000","10,000","11,000","11,000","13,000","11,000","11,000","11,000","11,000","13,000","13,000","12,000","11,000","11,000","11,000","11,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","10,000","10,000","10,000","11,000","11,000","11,000","11,000","10,000","10,000","10,000","11,000","11,000","10,000","10,000","10,000","11,000","12,000","12,000","12,000","13,000","11,000","11,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","8,000","8,000","9,000","9,000","9,000","10,000","12,000","13,000","13,000","11,000","10,000","10,000","10,000","9,000","9,000","9,000","10,000","10,000","10,000","10,000","12,000","13,000","13,000","15,000","14,000","13,000","12,000","12,000","12,000","12,000","11,000","10,000","10,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","13,000","15,000","15,000","15,000","16,000","16,000","18,000","20,000","20,000","20,000","20,000","23,000","23,000","18,000","15,000","15,000","19,000","19,000","19,000","21,000","21,000","26,000","26,000","30,000","33,000","35,000","40,000","50,000","45,000","45,000","45,000","50,000","50,000","40,000","40,000","46,000","46,000","46,000","50,000","50,000","45,000","45,000","40,000","38,000","38,000","35,000","35,000","32,000","30,000","30,000","35,000","40,000","45,000","45,000","45,000","40,000","35,000","32,000","30,000","25,000","25,000","25,000","28,000","30,000","25,000","25,000","18,000","15,000","15,000","15,000","18,000","18,000","20,000","20,000","22,000","22,000","20,000","18,000","18,000","18,000","18,000","15,000","13,000","13,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","9,000","9,000","9,000","10,000","10,000","10,000","10,000","12,000","11,000","11,000","11,000","11,000","10,000","10,000","10,000","9,000","9,000","9,000","10,000","12,000"
부산,"10,000","10,000","10,000","10,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","9,000","9,000","9,000","9,000","8,000","8,000","8,000","8,000","9,000","9,000","9,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","9,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","9,000","9,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","10,000","10,000","10,000","9,000","10,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","12,000","12,000","12,000","12,000","13,000","13,000","15,000","17,000","17,000","17,000","17,000","19,000","19,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","20,000","22,000","24,000","27,000","29,000","32,000","35,000","35,000","36,000","34,000","36,000","36,000","35,000","38,000","38,000","38,000","38,000","39,000","39,000","38,000","38,000","34,000","34,000","34,000","34,000","34,000","32,000","30,000","30,000","32,000","34,000","36,000","36,000","36,000","36,000","34,000","30,000","30,000","27,000","25,000","25,000","26,000","26,000","24,000","24,000","20,000","18,000","18,000","18,000","19,000","20,000","21,000","22,000","22,000","22,000","20,000","18,000","17,000","17,000","16,000","14,000","14,000","13,000","11,000","12,000","11,000","11,000","11,000","11,000","11,000","10,000","10,000","10,000","10,000","9,000","9,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","9,000","9,000","9,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","10,000","11,000"
대구,"6,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","8,000","8,000","8,000","10,000","12,000","10,000","9,000","9,000","9,000","9,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,500","6,500","6,750","7,000","7,500","7,500","8,500","8,500","8,500","8,500","8,500","9,000","9,000","9,000","9,000","8,000","8,000","9,000","10,000","10,000","12,000","12,000","11,000","11,000","11,000","10,000","10,000","10,000","9,000","9,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","12,000","12,000","14,000","16,000","16,000","18,000","18,000","20,000","20,000","18,000","18,000","18,000","16,000","16,000","16,000","16,000","16,000","18,000","23,000","24,000","26,000","28,000","35,000","38,000","38,000","45,000","42,000","43,000","43,000","38,000","40,000","40,000","40,000","46,000","46,000","46,000","46,000","42,000","40,000","40,000","36,000","36,000","32,000","32,000","32,000","30,000","36,000","38,000","38,000","34,000","34,000","34,000","34,000","32,000","32,000","30,000","30,000","27,000","27,000","28,000","26,000","26,000","22,000","18,000","18,000","18,000","18,000","18,000","19,000","23,000","22,000","22,000","18,000","18,000","16,000","16,000","17,000","14,000","14,000","14,000","12,000","12,000","11,000","11,000","11,000","11,000","11,000","9,000","9,000","10,000","10,000","9,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","9,000","9,000","10,000","9,000","9,000","10,000","10,000","9,000","9,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","9,000","10,000","11,000"
광주,"10,000","9,000","9,000","8,000","7,000","8,000","8,000","8,000","7,000","6,000","6,000","6,000","7,000","8,000","9,000","9,000","10,000","9,000","8,000","9,000","9,000","8,000","9,000","9,000","8,000","8,000","7,000","7,000","7,000","6,000","7,000","8,000","9,000","8,000","8,000","7,000","7,000","7,000","7,000","8,000","8,000","7,000","6,000","6,000","7,000","7,000","8,000","7,000","6,000","7,000","6,000","6,000","7,000","7,000","7,000","6,000","7,000","8,000","9,000","8,000","8,000","8,000","8,000","8,000","9,000","10,000","9,000","8,000","10,000","9,000","10,000","10,000","10,000","10,000","9,000","9,000","8,000","8,000","8,000","8,000","8,000","7,000","8,000","9,000","9,000","10,000","10,000","10,000","10,000","9,000","9,000","8,500","8,500","8,500","8,500","8,500","8,500","10,000","9,000","10,000","11,000","11,000","13,000","14,000","13,000","12,000","12,000","12,000","11,000","10,000","11,000","10,000","9,000","10,000","10,000","11,000","10,000","10,000","11,000","11,000","13,000","13,000","12,000","13,000","15,000","15,000","16,000","17,000","17,000","19,000","19,000","21,000","21,000","18,000","16,000","15,000","14,000","14,000","16,000","18,000","17,000","20,000","23,000","25,000","27,000","30,000","33,000","35,000","34,000","36,000","36,000","43,000","40,000","38,000","40,000","45,000","40,000","42,000","44,000","44,000","43,000","42,000","38,000","37,000","35,000","33,000","32,000","30,000","28,000","28,000","32,000","35,000","37,000","35,000","40,000","38,000","35,000","32,000","30,000","28,000","26,000","25,000","27,000","30,000","25,000","25,000","20,000","17,000","17,000","18,000","19,000","20,000","21,000","22,000","21,000","21,000","20,000","18,000","18,000","18,000","17,000","15,000","14,000","13,000","12,000","10,000","9,000","9,000","11,000","11,000","11,000","10,000","10,000","10,000","9,000","8,000","9,000","10,000","10,000","10,000","10,000","9,000","9,000","8,000","8,000","9,000","9,000","9,000","9,000","10,000","10,000","10,000","10,000","12,000","11,000","11,000","10,000","11,000","10,000","10,000","9,000","8,000","8,000","8,000","9,000","11,000"
대전,"11,000","11,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","8,000","9,000","9,000","10,000","10,000","10,000","10,000","10,000","9,000","8,000","8,000","8,000","9,000","10,000","10,000","10,000","9,000","9,000","9,000","8,000","9,000","8,000","9,000","11,000","10,000","11,000","9,000","8,000","9,000","8,000","9,000","9,000","9,000","9,000","9,000","8,000","8,000","8,000","8,000","7,000","8,000","7,000","7,000","9,000","8,000","8,000","8,000","8,000","9,000","9,000","8,000","8,000","9,000","10,000","10,000","10,000","12,000","11,000","9,000","11,000","10,000","11,000","10,000","10,000","9,000","8,000","9,000","8,000","8,000","9,000","9,000","9,000","8,000","9,000","10,000","9,000","10,000","10,000","9,000","10,000","10,000","9,000","10,000","9,000","9,000","8,000","9,000","9,000","11,000","10,000","11,000","12,000","11,000","14,000","13,000","12,000","12,000","12,000","12,000","10,000","9,000","10,000","11,000","10,000","11,000","12,000","13,000","12,000","11,000","13,000","15,000","16,000","16,000","14,000","15,000","16,000","16,000","20,000","20,000","22,000","22,000","20,000","22,000","18,000","15,000","15,000","13,000","16,000","16,000","16,000","16,000","18,000","20,000","23,000","25,000","27,000","30,000","33,000","35,000","30,000","40,000","36,000","40,000","40,000","37,000","42,000","42,000","35,000","40,000","40,000","38,000","43,000","40,000","34,000","30,000","26,000","30,000","30,000","30,000","27,000","27,000","35,000","40,000","45,000","40,000","45,000","40,000","37,000","35,000","35,000","33,000","27,000","23,000","25,000","27,000","23,000","21,000","16,000","16,000","18,000","20,000","20,000","22,000","24,000","24,000","21,000","21,000","19,000","19,000","18,000","18,000","14,000","12,000","13,000","13,000","11,000","11,000","10,000","10,000","11,000","11,000","11,000","11,000","11,000","11,000","10,000","9,000","10,000","10,000","10,000","11,000","10,000","10,000","10,000","9,000","9,000","10,000","10,000","9,000","10,000","10,000","11,000","10,000","11,000","12,000","11,000","11,000","11,000","11,000","10,000","10,000","10,000","9,000","9,000","9,000","10,000","11,000"
